"Player","Nation","Position","Club","Age","MatchesPlayed","Starts","TotalMinutes","Goals","Assists","xG","xAG","FPLPoints","FPLPrice","WeeklyWages","AnnualWages","Continent"
"Jacob Murphy","ENG","FW","Newcastle Utd",27,13,4,420,1,0,0.8,0.5,29,4.3,35000,1820000,"Europe"
"Enock Mwepu","ZAM","FW","Brighton",24,6,2,213,0,1,0.2,0.5,11,5.3,30769,1600000,"Africa"
"Vitaliy Mykolenko","UKR","DF","Everton",23,13,13,1165,0,0,0.4,0.4,43,4.5,58000,3016000,"Europe"
"Wilfred Ndidi","NGA","MF","Leicester City",25,8,7,581,0,0,0.1,0,14,4.8,75000,3900000,"Africa"
"Reiss Nelson","ENG","FW","Arsenal",22,1,0,64,2,1,0.6,0.1,19,4.8,15000,780000,"Europe"
"Neto","BRA","GK","Bournemouth",33,8,8,675,0,0,0,0,25,4.5,50000,2600000,"Americas"
"Pedro Neto","POR","FW","Wolves",22,8,8,599,0,0,0.7,1.2,18,4.9,50000,2600000,"Europe"
"Rúben Neves","POR","MF","Wolves",25,12,12,1080,3,0,1.4,0.3,54,5.5,50000,2600000,"Europe"
"Moussa Niakhate","FRA","DF","Nottingham Forest",26,2,2,160,0,0,0.3,0,NA,NA,NA,NA,"Europe"
"Rasmus Nissen","DEN","DF","Leeds United",25,10,10,870,0,0,0.2,0.6,NA,NA,NA,NA,"Europe"
"Eddie Nketiah","ENG","FW","Arsenal",23,12,0,152,0,0,0.7,0.2,12,6.5,1e+05,5200000,"Europe"
"Matheus Nunes","POR","MF","Wolves",24,11,11,846,0,1,1.1,1.2,28,4.8,85000,4420000,"Europe"
"Darwin Núñez","URU","FW","Liverpool",23,8,5,432,3,1,3.6,1.4,31,8.9,140000,7280000,"Americas"
"Ethan Nwaneri","ENG","MF","Arsenal",15,1,0,1,0,0,0,0,1,4.5,NA,NA,"Europe"
"Christian Nørgaard","DEN","MF","Brentford",28,4,4,309,1,0,0.4,0.1,15,5.3,20000,1040000,"Europe"
"Lewis O'brien","ENG","MF","Nottingham Forest",24,9,6,495,1,0,0.3,0.2,NA,NA,NA,NA,"Europe"
"Angelo Ogbonna","ITA","DF","West Ham",34,2,0,27,0,0,0,0.1,2,4.4,70000,3640000,"Europe"
"Michael Olise","FRA","MF","Crystal Palace",20,11,6,574,0,2,0.7,1.4,35,5.4,47500,2470000,"Europe"
"Robin Olsen","SWE","GK","Aston Villa",32,1,0,56,0,0,0,0,-1,3.9,50000,2600000,"Europe"
"Amadou Onana","BEL","MF","Everton",21,12,10,901,0,1,1.5,0.9,31,4.9,1e+05,5200000,"Europe"
"Josh Onomah","ENG","MF","Fulham",25,1,0,14,0,0,0,0,1,4.3,30000,1560000,"Europe"
"Frank Onyeka","NGA","MF","Brentford",24,10,3,311,0,1,0.2,0.5,16,4.8,18462,960000,"Africa"
"Alex Oxlade-Chamberlain","ENG","FW","Liverpool",29,1,0,15,0,0,0,0,2,4.9,120000,6240000,"Europe"
"João Palhinha","POR","MF","Fulham",27,12,12,1071,2,0,0.8,0,36,5,NA,NA,"Europe"
"Cole Palmer","ENG","MF","Manchester City",20,7,0,106,0,0,0.1,0.1,7,4.3,20000,1040000,"Europe"
"Emerson Palmieri","ITA","DF","West Ham",28,7,3,224,0,0,0.1,0,6,4,95000,4940000,"Europe"
"Lucas Paquetá","BRA","MF","West Ham",25,6,5,408,0,1,1,0.4,22,5.9,150000,7800000,"Americas"
"Thomas Partey","GHA","MF","Arsenal",29,9,9,779,2,0,0.7,0.5,40,4.8,2e+05,10400000,"Africa"
"Nathan Patterson","SCO","DF","Everton",21,8,7,657,0,0,0.4,0.3,22,4,28000,1456000,"Europe"
